Road Id,Id,type,roadmark type,roadmark material,roadmark color,roadmark laneChange,max speed,speed unit,laneId,travelDir
0,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{83251f42-a1dc-41b4-99cf-e2372da6950f},forward
0,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{1db61eed-505f-4807-a5fb-bfd2f2dee318},undirected
1,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{e51db509-7f95-474b-b4a2-aeae3fcfef02},forward
1,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{63cee73e-95d8-4d06-8b98-82e511657ea2},undirected
2,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{72959ead-18b9-44dc-9311-a1e2545eb928},forward
2,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{f178acca-772d-4cba-b267-dea8cbae2e7d},undirected
3,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c56c2fc1-930f-40cd-b36f-6974616e96b5},forward
3,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{d322765d-9d75-4f00-935d-067dd159640b},undirected
4,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{4db07e50-75f6-4201-8247-6e6dfd44621a},forward
4,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{727aa0fe-6c85-461c-a979-917a2065b2f3},undirected
5,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{faeeaa6d-c72d-4439-88b6-ee016bb19a90},forward
5,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{5bc5e083-58ea-4bfc-b70c-3acad6c26ebb},undirected
6,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{d1b94a37-2212-46bf-9a0f-0068cf907f67},forward
6,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{21615d12-07af-4431-a2bf-9771d5603047},undirected
7,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{ec7ffa7f-1823-49cf-a31c-2f48bbbb3c8d},forward
7,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{6559b955-0605-48b9-b8e8-1811c2b6d621},undirected
8,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{25e312d9-96ad-4aad-9ab6-156013de7eae},forward
8,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{1af71057-942d-41da-bfe9-c788d56ca3db},undirected
9,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c8ec1d73-3378-4c88-b094-5c4f3d8ce0f4},forward
9,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{12d523c7-f6f8-42a5-880f-a0aa1c60cb85},undirected
10,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{59b5818f-ac4b-4c7d-9e4b-120a99897aff},forward
10,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{8726d240-2f33-4de6-bfd9-33bd0a97a45d},undirected
11,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{a3cdb413-497d-49dc-957f-7bde74b61e73},forward
11,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{e3048936-bde1-45e0-a3f7-655afd5312ba},undirected
12,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{1e7992d7-0f18-4561-9366-3a1d96461263},forward
12,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{6f6a6c0d-a9b0-41cf-8b90-37cc90889403},undirected
13,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{009b236a-c952-4767-86da-06ed3eaf94e6},forward
13,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{10b80b49-5c62-4ef7-9c8a-bdb5d036a4a3},undirected
16,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{79d19b19-bb23-412b-999b-57f2788fcb07},forward
21,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{4080539c-17cd-40ff-bc5c-be45ebbf742b},forward
21,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{ff58fec8-c4bf-45fd-a051-ec5b1075da96},undirected
23,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{b2b1b3eb-1989-4171-8312-96330fbfa88e},forward
25,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{4e216f1c-c198-4f0f-b5d8-a4a3aabba86f},forward
30,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{e6fd56a3-f5cd-49a8-b888-bd0ec66183bd},forward
30,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{482f6d87-96e1-44cf-a8fd-5c240ae8c844},undirected
31,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{2255d9c6-84ef-4b43-adb0-61ab9ec29c4d},forward
34,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{3e50144f-e809-4c8d-9a8c-63469b3a34c7},forward
37,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{a1914b29-9c54-4158-85d1-ac753be53d41},forward
40,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{11197512-5caa-4bdb-b7a1-e8fd624e1c18},forward
42,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{2552f116-9952-4583-81c5-108ddf58a1bb},forward
43,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{2b18d1cd-582b-48d6-8d9b-0cdfe363f155},forward
46,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{23e30a0c-ddb0-4e54-a1cb-1fb43f884f2c},forward
46,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{7d4b60fd-b993-401b-8b40-81c5b2627f49},undirected
51,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c586e42c-45ce-443f-92fe-0c397eb5eb12},forward
51,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{1b5f699b-ad0b-4d9a-98a6-0e5a2c32e718},undirected
59,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c586e42c-45ce-443f-92fe-0c397eb5eb12},forward
63,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{3ba2d0f4-9866-48f5-bc81-6d18e0279f6a},forward
68,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{7d222ddd-f707-45b1-97ff-10336d7e49ea},forward
68,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{03d50945-6bc0-459c-8f06-99c88ec08513},undirected
72,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{590db6f7-776c-4d39-ba11-074debe17069},forward
72,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{3d78d478-fa6b-45bc-8e6b-106fadaf49a8},undirected
73,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{3f32f099-01a0-4ca6-8d5c-f3337350993d},forward
74,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{66bc2df4-fcee-4f7c-b979-44bf0e3548c6},forward
76,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{9cd3c125-84be-4ed8-803f-1f163bf4e62a},forward
80,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{3134c8cd-58d7-41df-bee7-cd4132d38a87},forward
80,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{7b7e6a2f-b252-49e3-b9fb-0fd44019249b},undirected
81,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{d8b525e8-2649-4b70-ba4c-0ec4a9c8b42a},forward
82,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{c03fb02b-f561-4d29-89af-ee841dbca3cf},forward
84,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{b66bddac-42cf-4149-98c6-d5cde5169651},forward
89,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{9f15452e-56e4-489f-8007-f52e007881d2},forward
89,-2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{8515a05f-9052-479f-8b3b-2a04e4abcf68},undirected
91,-1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{1d8531f1-dea2-4dbf-9e2b-7b71dede65e2},forward
